driverId,resultId,constructorId,result_number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,driverRef,number,code,forename,surname,dob,nationality,url
449,18313,107,5,6,1,1,1,8,200,3:40:49.20,13249200,\N,\N,\N,\N,1,ward,\N,\N,Rodger,Ward,1921-01-10,American,http://en.wikipedia.org/wiki/Rodger_Ward
509,18314,107,16,3,2,2,2,6,200,+0:23.28,13272480,\N,\N,\N,\N,1,rathmann,\N,\N,Jim,Rathmann,1928-07-16,American,http://en.wikipedia.org/wiki/Jim_Rathmann
512,18315,110,3,1,3,3,3,5,200,+0:50.64,13299840,\N,\N,\N,\N,1,thomson,\N,\N,Johnny,Thomson,1922-04-09,American,http://en.wikipedia.org/wiki/Johnny_Thomson
529,18316,108,1,15,4,4,4,3,200,+1:47.09,13356290,\N,\N,\N,\N,1,bettenhausen,\N,\N,Tony,Bettenhausen,1916-09-12,American,http://en.wikipedia.org/wiki/Tony_Bettenhausen
510,18317,108,99,16,5,5,5,2,200,+2:06.44,13375640,\N,\N,\N,\N,1,goldsmith,\N,\N,Paul,Goldsmith,1925-10-02,American,http://en.wikipedia.org/wiki/Paul_Goldsmith
533,18318,108,33,11,6,6,6,0,200,+3:16.98,13446180,\N,\N,\N,\N,1,boyd,\N,\N,Johnny,Boyd,1926-08-19,American,http://en.wikipedia.org/wiki/Johnny_Boyd
518,18319,113,37,12,7,7,7,0,200,+4:09.92,13499120,\N,\N,\N,\N,1,darter,\N,\N,Duane,Carter,1913-05-05,American,http://en.wikipedia.org/wiki/Duane_Carter
513,18320,113,19,8,8,8,8,0,200,+4:10.53,13499730,\N,\N,\N,\N,1,johnson,\N,\N,Eddie,Johnson,1919-02-10,American,http://en.wikipedia.org/wiki/Eddie_Johnson_(auto_racer)
555,18321,113,45,27,9,9,9,0,200,+4:11.04,13500240,\N,\N,\N,\N,1,paul_russo,\N,\N,Paul,Russo,1914-04-10,American,http://en.wikipedia.org/wiki/Paul_Russo
531,18322,114,10,17,10,10,10,0,200,+4:14.48,13503680,\N,\N,\N,\N,1,foyt,\N,\N,Anthony,Foyt,1935-01-16,American,http://en.wikipedia.org/wiki/A.J._Foyt
520,18323,114,88,9,11,11,11,0,200,+5:42.48,13591680,\N,\N,\N,\N,1,hartley,\N,\N,Gene,Hartley,1926-01-28,American,http://en.wikipedia.org/wiki/Gene_Hartley
514,18324,119,74,7,12,12,12,0,200,+6:09.73,13618930,\N,\N,\N,\N,1,veith,\N,\N,Bob,Veith,1926-11-01,American,http://en.wikipedia.org/wiki/Bob_Veith
538,18325,120,89,23,13,13,13,0,200,+6:40.40,13649600,\N,\N,\N,\N,1,herman,\N,\N,Al,Herman,1927-03-15,American,http://en.wikipedia.org/wiki/Al_Herman
556,18326,113,66,13,14,14,14,0,200,+6:41.54,13650740,\N,\N,\N,\N,1,daywalt,\N,\N,Jimmy,Daywalt,1924-08-28,American,http://en.wikipedia.org/wiki/Jimmy_Daywalt
557,18327,113,71,21,15,15,15,0,200,+8:19.86,13749060,\N,\N,\N,\N,1,arnold,\N,\N,Chuck,Arnold,1926-05-30,American,http://en.wikipedia.org/wiki/Chuck_Arnold
535,18328,113,58,33,16,16,16,0,200,+11:41.69,13950890,\N,\N,\N,\N,1,mcwithey,\N,\N,Jim,McWithey,1927-07-04,American,http://en.wikipedia.org/wiki/Jim_McWithey
527,18329,114,44,2,\N,R,17,0,182,\N,\N,\N,\N,\N,\N,20,sachs,\N,\N,Eddie,Sachs,1927-05-28,American,http://en.wikipedia.org/wiki/Eddie_Sachs
558,18330,114,57,28,\N,R,18,0,163,\N,\N,\N,\N,\N,\N,5,keller,\N,\N,Al,Keller,1920-04-11,American,http://en.wikipedia.org/wiki/Al_Keller
559,18331,107,64,18,\N,R,19,0,162,\N,\N,\N,\N,\N,\N,3,flaherty,\N,\N,Pat,Flaherty,1926-01-06,American,http://en.wikipedia.org/wiki/Pat_Flaherty_(racing_driver)
537,18332,107,73,4,\N,R,20,0,150,\N,\N,\N,\N,\N,\N,42,dick_rathmann,\N,\N,Dick,Rathmann,1924-01-06,American,http://en.wikipedia.org/wiki/Dick_Rathmann
560,18333,114,53,30,\N,R,21,0,147,\N,\N,\N,\N,\N,\N,121,cheesbourg,\N,\N,Bill,Cheesbourg,1927-06-12,American,http://en.wikipedia.org/wiki/Bill_Cheesbourg
528,18334,113,15,25,\N,R,22,0,136,\N,\N,\N,\N,\N,\N,121,freeland,\N,\N,Don,Freeland,1925-03-25,American,http://en.wikipedia.org/wiki/Don_Freeland
561,18335,121,49,32,\N,R,23,0,115,\N,\N,\N,\N,\N,\N,3,ray_crawford,\N,\N,Ray,Crawford,1915-10-26,American,http://en.wikipedia.org/wiki/Ray_Crawford
511,18336,109,9,10,\N,R,24,0,112,\N,\N,\N,\N,\N,\N,22,branson,\N,\N,Don,Branson,1920-06-02,American,http://en.wikipedia.org/wiki/Don_Branson
516,18337,113,65,24,\N,R,25,0,109,\N,\N,\N,\N,\N,\N,5,christie,\N,\N,Bob,Christie,1924-04-04,American,http://en.wikipedia.org/wiki/Bob_Christie_(racing_driver)
522,18338,113,48,5,\N,R,26,0,85,\N,\N,\N,\N,\N,\N,121,grim,\N,\N,Bobby,Grim,1924-09-04,American,http://en.wikipedia.org/wiki/Bobby_Grim
562,18339,115,24,14,\N,R,27,0,47,\N,\N,\N,\N,\N,\N,95,turner,\N,\N,Jack,Turner,1920-02-12,American,http://en.wikipedia.org/wiki/Jack_Turner_(driver)
563,18340,113,47,29,\N,R,28,0,45,\N,\N,\N,\N,\N,\N,3,weyant,\N,\N,Chuck,Weyant,1923-04-03,American,http://en.wikipedia.org/wiki/Chuck_Weyant
564,18341,113,7,19,\N,R,29,0,45,\N,\N,\N,\N,\N,\N,3,larson,\N,\N,Jud,Larson,1923-01-21,American,http://en.wikipedia.org/wiki/Jud_Larson
565,18342,122,77,31,\N,R,30,0,45,\N,\N,\N,\N,\N,\N,3,magill,\N,\N,Mike,Magill,1920-02-08,American,http://en.wikipedia.org/wiki/Mike_Magill
517,18343,113,87,26,\N,R,31,0,45,\N,\N,\N,\N,\N,\N,3,amick,\N,\N,Red,Amick,1929-01-19,American,http://en.wikipedia.org/wiki/Red_Amick
536,18344,110,8,22,\N,R,32,0,34,\N,\N,\N,\N,\N,\N,3,sutton,\N,\N,Len,Sutton,1925-08-09,American,http://en.wikipedia.org/wiki/Len_Sutton
525,18345,108,6,20,\N,R,33,0,1,\N,\N,\N,\N,\N,\N,5,bryan,\N,\N,Jimmy,Bryan,1926-01-28,American,http://en.wikipedia.org/wiki/Jimmy_Bryan
